pair,n,dcc_a,dcc_b,dcc_nu,dcc_ll,adcc_a,adcc_b,adcc_g,adcc_nu,adcc_ll,LR,p_chi1,p_boundary_mixture,delta_AIC_adcc_minus_dcc,delta_BIC_adcc_minus_dcc
SP500_Treasuries,1683,0.0432112773686578,0.9352865394516388,7.661642308865923,-4651.43588035116,0.0420603280627407,0.9325796394182267,0.0129068217131917,7.715021758530269,-4651.085113739372,0.7015332235769165,0.4022689880180886,0.2011344940090443,1.2984667764230835,6.726799970612774
Nasdaq_Treasuries,1683,0.0367829641766164,0.935341475933563,8.803255302526756,-4685.373389164223,0.0347743789796427,0.932339235166699,0.0178359332088049,8.880553158494674,-4684.918891546696,0.9089952350550448,0.3403811530328851,0.1701905765164425,1.0910047649449552,6.519337959134646
Gold_Treasuries,1683,0.0262498137010755,0.9532972983077578,7.509964183812236,-4587.546538057197,0.0262495179389229,0.9532974238713494,2.2224822130862315e-15,7.509910615476154,-4587.546538060863,0.0,1.0,1.0,2.0000000073323463,7.428333201522037
EURUSD_RateDifferential,1457,0.0244673247192237,0.938056533033355,6.934806794480607,-4016.759526189872,0.0227265194772074,0.9347205487907436,0.0173828821386657,6.946931908554329,-4016.226466265362,1.066119849019742,0.3018235276307834,0.1509117638153917,0.933880150980258,6.218014957175001
