pair,n,dcc_a_gjr,dcc_b_gjr,adcc_a_gjr,adcc_b_gjr,adcc_g_gjr,LR,p_boundary_mixture,delta_AIC_adcc_minus_dcc,delta_BIC_adcc_minus_dcc
SP500_Treasuries,1683,0.0460433271924477,0.9312864229669932,0.0445167072121361,0.9278119559721116,0.0156977373086323,0.7751514424708148,0.189314057549303,1.2248485575291852,6.653181751718876
Nasdaq_Treasuries,1683,0.0409514463832477,0.9266217720546428,0.0389795889519909,0.9196393151807742,0.025064795920343,1.2782221102643234,0.1291149328380022,0.7217778897356766,6.150111083925367
Gold_Treasuries,1683,0.0246631249302607,0.9564562322228348,0.0246628993552899,0.9564572176229984,1.5479973757239664e-16,0.0,1.0,2.0000000052641558,7.428333199453846
EURUSD_RateDifferential,1457,0.0241535886597421,0.939334090471976,0.0226174333802421,0.9345135374248132,0.0190655075780182,1.4010290878668457,0.1182756718932577,0.5989709121331543,5.883105718327897
